English,Serbian
silencing,ућуткивање
similarity,сличност
simple_name,једноставан_назив
simple_naming,једноставно_називање
simultaneity,истовременост
size,величина
sleep,спавање
sleep_wake_cycle,циклус_спавања_и_буђења
smuggling,шверцовање
soaking,натапање
soaking_up,упијање
sociability,друштвеност
social_behavior_evaluation,друштвено_понашање_вредновање
social_connection,друштвена_повезаност
social_desirability,друштвена_пожељност
social_event,друштвени_догађај
social_event_collective,друштвени_догађај_колектив
social_event_individuals,друштвени_догађај_појединци
social_interaction_evaluation,друштвена_интеракција_вредновање
socially_significant_history_scenario,друштвено_значајна_историја_сценарио
sole_instance,једини_пример
sound_level,ниво_звука
sound_movement,звук_кретање
sounds,звукови
source_of_getting,извор_добијања
source_path_goal,извор_пут_циљ
spatial_co-location,просторно_поклапање
spatial_contact,просторни_контакт
speak_on_topic,говорити_на_тему
specific_individual,конкретан_појединац
speed_description,опис_брзине
spelling_and_pronouncing,правопис_и_изговор
sports_jargon,спортски_жаргон
stage_of_progress,фаза_напретка
standing_by,бити_у_приправности
state,стање
state_continue,стање_наставак
state_of_entity,стање_ентитета
statement,изјава
stimulus_focus,стимулус_фокус
stinginess,шкртост
store,залиха
storing,складиштење
strictness,стриктност
studying,студирање
suasion,убеђивање
subjective_influence,субјективан_утицај
subjective_temperature,субјективна_температура
submitting_documents,подношење_докумената
subordinates_and_superiors,подређени_и_претпостављени
subsisting,опстајање
substance,супстанца
substance_by_phase,материја_према_агрегатном_стању
subversion,подривање
success_or_failure,успех_или_неуспех
successful_action,успешна_акција
successfully_communicate_message,успешно_пренети_поруку
sufficiency,довољност
suicide_attack,самоубилачки_напад
suitability,подобност
summarizing,сумирање
supply,снабдевање
supporting,потпора
surpassing,надмашивање
surrendering,предаја
surrendering_possession,предаја_посесума
surrounding,окруживање
surviving,преживљавање
suspicion,сумња
symmetrical_collective_reciprocality,симетрична_колективна_реципрочност
system,систем
system_complexity,сложеност_система
take_place_of,заузети_место
taking,узимање
taking_captive,заробљавање
taking_sides,заузимање_страна
taking_time,трајање
talking_into,наговорање
tasting,дегустација
team,тим
telling,причање
temperature,температура
temporal_collocation,временско_поклапање
temporal_pattern,временски_образац
temporal_subregion,временска_подрегија
temporary_group,привремена_група
temporary_leave,привремено_одсуство
temporary_stay,привремени_боравак
temporary_transfer_scenario,привремени_пренос_сценарио
terms_of_agreement,услови_споразума
terrorism,тероризам
test35,тест35
test_the_test,проверити_проверу
text,текст
text_creation,текст_стварање
theft,крађа
thermodynamic_phase,термодинамичка_фаза
thriving,напредовање
thwarting,осујећивање
time_period_of_action,временски_период_радње
time_vector,временски_вектор
timespan,временски_распон
timetable,распоред
tolerating,толерисање
tool_purpose,сврха_алата
topic,тема
touring,обилазак
toxic_substance,токсична_супстанца
transfer,преношење
transfer_scenario,пренос_сценарио
transition_to_a_quality,прелазак_на_особину
transition_to_a_situation,прелазак_на_ситуацију
transition_to_state,прелазак_у_стање
transitive_action,прелазна_радња
translating,превођење
transportation_status,статус_транспорта
trap,замка
travel,путовање
traversing,прелажење
treating_and_mistreating,третирање_и_малтретирање
trendiness,актуелност
trial,суђење
triggering,окидање
trust,поверење
try_defendant,судити_оптуженом
trying_out,испробавање
turning_out,испостављати_се
type,тип
typicality,типичност
unattributed_information,неприписане_информације
undergo_change,подвргнути_се_промени
undergo_transformation,подвргнути_се_трансформацији
undergoing,бити_подвргнут_нечему
undergoing_scenario,у_току_сценарио
undressing,свлачење
unemployment_rate,стопа_незапослености
use_firearm,користити_ватрено_оружје
use_vehicle,користити_возило
used_up,истрошен
usefulness,корисност
using,коришћење
using_resource,коришћење_ресурса
vehicle,возило
vehicle_departure_initial_stage,полазак_возила_почетна_фаза
vehicle_landing,слетање_возила
vehicle_subpart,возило_део
verdict,пресуда
verification,потврђивање
version_sequence,редослед_верзија
victim_operated_ied,импровизована_експлозивна_направа_активирана_од_стране_жртве
violence,насиље
visit_host,посетити_домаћина
visit_host_arrival,посетити_домаћина_долазак
visit_host_departure,посетити_домаћина_одлазак
visit_host_stay,посетити_домаћина_боравак
visiting,посећивање
visiting_scenario,посета_сценарио
visiting_scenario_arrival,сценарио_посете_долазак
visiting_scenario_departing,сценарио_посете_одлазак
visiting_scenario_stay,сценарио_посете_боравак
visitor_and_host,посетилац_и_домаћин
visitor_arrival,посетилац_долазак
visitor_departure,посетилац_одлазак
visitor_scenario,посетилац_сценарио
vocalizations,вокализације
volubility,причљивост
wagering,клађење
waiting,чекање
waking_up,буђење
want_suspect,гоњење_осумњиченог
warning,упозорење
waver_between_options,колебати_се_између_опција
wealthiness,богатство
weapon,оружје
wearing,ношење_одеће
weather,временске_прилике
wholes_and_parts,целине_и_делови
willingness,спремност
win_prize,освојити_награду
withdraw_from_participation,одустати_од_учешћа
within_distance,унутар_опсега
word_relations,односи_међу_речима
work,рад
working_a_post,обављање_задатка
