lemmaCorrected,lemmaName(pt),lemmaName(en),idUDPOS,senseDescription(pt)
estúdio,"apartamento estúdio","studio apartment",8,"É um apartamento composto por um quarto principal, um banheiro e uma cozinha compacta."
"biblioteca de brinquedos","biblioteca de brinquedos","toy library",8,"Um tipo de biblioteca ou lugar com brinquedos, quebra-cabeças e jogos, funcionando como um lugar para crianças brincarem ou desenvolverem habilidades."
"sala de armazenamento de bagagem","sala de armazenamento de bagagem","baggage storage room",8,"É um espaço que os estabelecimentos de hospedagem devem disponibilizar para armazenar o bagagem dos hóspedes."
"banheiro privado","banheiro privado","private bathroom",8,"Um banheiro dentro de um quarto, para uso exclusivo do hóspede ou da pessoa que fica naquele quarto."
andar,"Andar ou piso de uma construção",storey,8,"a altura que o edifício tem entre dois níveis de piso."
térreo,térreo,"ground floor",8,"o chão de um edifício no nível do solo."
monte,Montes,oodles,8,"COD: um número ou quantidade muito grande"
monte,montes,scads,8,"COD: uma grande quantidade ou número."
centena,centenas,hundreds,8,"COD: um número grande não especificado"
milhar,milhares,thousands,8,"COD: um número grande não especificado"
dezena,dezenas,dozens,8,"FN: um número indefinidamente grande"
pouco,poucos,few,8,"COD: um pequeno número de"
vários,vários,several,8,"COD: mais de dois, mas não muitos."
vários,vários,several,1,"FN: consistindo de mais de dois, mas não muitos"
pouco,poucos,few,1,"COD: não muito."
algum,alguns,"a few",6,"COD: um pequeno número de."
muito,muitos,many,1,"COD: um grande número de"
numeroso,numerosos,numerous,1,"COD: vários"
"um pouco","um pouco","a little",8,"FN: uma pequena quantidade"
"bacia de captação","bacia de captação","catchment basin",8,"Uma depressão natural na superfície da terra, geralmente coberta com água (por exemplo, formando um lago); uma área da qual o escoamento superficial é levado embora por um único sistema de drenagem; uma área de terra onde toda a chuva e neve derretida se move naturalmente para o mesmo corpo d'água."
"bacia de drenagem","bacia de drenagem","drainage basin",8,"Uma depressão natural na superfície da terra, muitas vezes coberta com água (por exemplo, formando um lago); uma área de onde o escoamento superficial é levado por um único sistema de drenagem; uma área de terra onde toda a chuva e neve derretida se move naturalmente para o mesmo corpo de água."
"área de drenagem","área de drenagem","drainage area",8,"A área geográfica inteira drenada por um rio e seus afluentes; uma área caracterizada por todos os efluentes serem conduzidos para a mesma saída;"
"área de captação de água","área de captação de água","water catchment area",8,"A bacia estrutural é uma formação estrutural em larga escala de estratos rochosos formada pela deformação tectônica de estratos previamente planos. A drenagem da bacia ou da bacia hidrográfica é uma extensão ou área de terra onde a água da superfície da chuva, do derretimento da neve ou do gelo converge para um único ponto de elevação mais baixa, geralmente a saída da bacia, onde as águas se juntam a outro corpo de água, como um rio, lago, reservatório, estuário, zona úmida, mar ou oceano."
"bacia estrutural","bacia estrutural","structural basin",8,"Depressão geológica;"
bosquete,bosquete,woodlet,8,"Pequeno grupo de árvores;Um jardim ou uma área de terra para o cultivo de árvores frutíferas ou de nozes;Uma pomar de árvores frutíferas;Área onde as árvores são plantadas para fins comerciais;Jardim composto por um pequeno bosque cultivado sem sub-bosque;"
"via navegável","via navegável",waterway,8,"Uma via navegável é qualquer corpo de água navegável."
"canal de rio","canal de rio","stream channel",8,"Um corpo de água profundo e relativamente estreito (como um rio ou um porto ou um estreito que liga dois corpos maiores de água) que permite o melhor percurso para os navios."
"cadeia de montanhas","cadeia de montanhas","chain of mountains",8,"uma série de colinas ou montanhas."
"duna de areia","duna de areia","sand dune",8,"Uma crista de areia criada pelo vento; encontrada em desertos ou perto de lagos e oceanos."
"lagoa de natação natural","lagoa de natação natural","swimming pond",8,"Uma piscina ou lagoa de natação natural é um sistema que consiste em um corpo de água construído, onde a água é contida por uma membrana isolante ou membranas, em que não são usados produtos químicos ou dispositivos que desinfetam ou esterilizam a água, e toda a clarificação e purificação da água é alcançada através de filtros biológicos e plantas enraizadas hidroponicamente no sistema."
"curso de água","curso de água",watercourse,8,"Um corpo natural de água corrente que flui sobre ou sob a terra."
"lago de montanha","lago de montanha",tarn,8,"COD: um pequeno lago de montanha"
crevasse,crevasse,crevasse,8,"COD: uma fenda profunda em um glaciar ou campo de gelo."
fiord,fiordo,fjord,8,"COD: uma longa e estreita entrada no mar entre falésias altas, tipicamente formada pela submersão de um vale glacial e encontrada principalmente na Noruega."
canyon,canyon,canyon,8,"COD: uma garganta profunda, especialmente uma com um rio fluindo através dela."
"banco de gelo","banco de gelo",floe,8,"COD: uma camada de gelo flutuante."
combe,combe,coombe,8,"COD: uma curta vale ou saliência em uma colina ou costa, especialmente no sul da Inglaterra."
cratera,crater,crater,8,"COD: uma grande cavidade em forma de tigela, especialmente aquela causada por uma explosão ou impacto ou formando a boca de um vulcão."
gráben,gráben,graben,8,"COD: um bloco alongado da crosta terrestre que fica entre duas falhas e é deslocado para baixo, como em uma vale de rachadura."
moreia,morena,moraine,8,"COD: uma massa de rochas e sedimentos transportados e depositados por um glaciar."
"monte submarino","Monte submarino",seamount,8,"FN: uma montanha submarina que emerge do fundo do mar"
guyot,guyot,guyot,8,"COD: uma montanha submarina com topo plano."
rápido,rápidos,rapids,8,"FN: uma parte de um rio onde a corrente é forte e a superfície é frequentemente quebrada por obstáculos"
"anfiteatro glacial","anfiteatro glaciar",cirque,8,"COD: uma fenda com lados íngremes na cabeceira de um vale ou em uma montanha."
"resort à beira-mar","resort à beira-mar","beach resort",8,
"característica natural","Característica natural","natural feature",8,
"parque de diversões","parque de diversões",fairground,8,
"parque da cidade","Parque da cidade","city park",8,
"pico da montanha","Pico da montanha","mountain peak",8,
"área de caminhada","área de caminhada","hiking area",8,
arquipélago,"grupo de ilhas","island group",8,"Um grupo de muitas ilhas incluindo as águas que as rodeiam; Um grupo de ilhas onde as ilhas são entrelaçadas como numa cadeia; Um aglomerado de várias ilhas."
enseada,enseadas,inlets,8,"Uma extensão de água mais ampla (frequentemente entre falésias rochosas)."
"linha da praia","linha da praia",beachline,8,"A terra ao longo da borda de um corpo d'água."
"orla marítima","orla marítima","sea shore",8,"A costa ou a linha costeira é a frisa de terra no limite de um grande corpo de água, como um oceano, mar ou lago."
mirante,"Mirante panorâmico","scenic overlook",8,"Um lugar alto que oferece uma boa vista;"
costa,"costa marítima",seacoast,8,"A costa de um mar ou oceano;"
"zona úmida","Zona úmida",wetland,8,"Uma área baixa onde o solo está saturado de água;"
"zona úmida arborizada","zona úmida arborizada","forested wetland",8,"A pântano é uma zona húmida coberta por vegetação arbórea."
"fluxo de água","fluxo de água","water flow",8,"Um fluxo ou corrente de água."
aquífero,Aquífero,aquifer,8,"corpo rochoso que contém ou transmite água subterrânea."
cachoeira,caídas,falls,8,"COD: uma cachoeira ou cascata."
céu,céus,skies,8,"A atmosfera visível que pode ser vista pelo olho humano, onde é possível ver o movimento das estrelas acima do horizonte."
"bairro de negócios","bairro de negócios","business district",8,"o centro da cidade é um termo principalmente usado na América do Norte por falantes de inglês para se referir ao núcleo ou distrito comercial central de uma cidade, muitas vezes em um sentido geográfico, comercial ou comunitário. Um distrito comercial central é o coração comercial e frequentemente geográfico de uma cidade."
"cidade central","cidade central","central city",8,"a parte central de uma cidade."
"cidade natal","cidade natal",hometown,8,"Cidade de nascimento de uma entidade."
"em qualquer lugar","em qualquer lugar",anywhere,3,"Qualquer lugar."
"floresta tropical","floresta tropical",rainforest,8,"COD: uma floresta exuberante e densa encontrada em regiões tropicais com precipitação constante e pesada."
taiga,taiga,taiga,8,"COD: pântano de floresta conífera de altas latitudes setentrionais, especialmente entre a tundra e as estepes da Sibéria."
"mata verde","mata verde",greenwood,8,"COD: uma madeira ou floresta em folhagem, especialmente como refúgio para fora-da-lei."
bosque,bosquete,spinney,8,"COD: uma pequena área de árvores e arbustos."
arboreto,arboreto,shrubbery,8,"FN: uma área repleta de arbustos"
"fecho de pressão","fecho de pressão",snap,8,"COD: um fecho de pressão"
viscondado,viscondado,viscountcy,8,"FN: a jurisdição de um visconde"
megalópolis,Megalópolis,megalopolis,8,"COD: uma cidade muito grande e densamente povoada ou um complexo urbano"
cidade-estado,Cidade-estado,city-state,8,"COD: uma cidade e território circundante que formam um estado independente."
"capital da nação","capital da nação","nation's capital",8,"Um assento de governo;Uma cidade designada como sede legislativa pelo governo ou alguma outra autoridade, muitas vezes a cidade onde o governo está localizado; caso contrário, a mais importante cidade dentro de um país ou uma subdivisão dele."
"capital provincial","capital provincial","provincial capital",8,"A capital cidade ou capital município que goza de um estatuto primário num estado, país, província ou outra região, geralmente como sua sede do governo."
emprego,"emprego na cidade","city employment",8,"Uma cidade é um assentamento humano relativamente grande e permanente."
"centro urbano","centro urbano","urban center",8,"Uma grande e densamente povoada área urbana; pode incluir vários distritos administrativos independentes;"
"divisão territorial","divisão territorial","territorial division",8,"Um distrito é um tipo de divisão administrativa que, em alguns países, é administrado pelo governo local; Em política internacional, um território é uma área geográfica não soberana que ficou sob a autoridade de outro governo; que não foi concedida os poderes de autogoverno normalmente delegados a divisões territoriais secundárias; ou ambos."
"cidade metropolitana","cidade metropolitana","metropolitan city",8,"Uma grande cidade, especificamente aquela cidade em um país que é sede de governo, autoridade eclesiástica ou atividade comercial;Um grupo de assentamentos humanos que oferecem todos os serviços necessários (ou seja, administração civil, economia, transporte, cultura e educação) ligados à vida urbana e geralmente compreende uma ou duas cidades e seus subúrbios;Termo usado genericamente hoje para denotar qualquer forma urbana, mas aplicado particularmente a grandes assentamentos urbanos. No entanto, não existem definições acordadas para separar uma cidade de uma grande metrópole ou de uma cidade menor;Uma metrópole é uma grande cidade ou área urbana que é um importante centro econômico, político e cultural para um país ou região, e um importante centro de conexões regionais ou internacionais, comércio e comunicações."
"estado [soberano]","estado [soberano]","state [sovereign]",8,"COD: uma nação ou território considerado como uma comunidade política organizada sob um único governo."
"estado [interno]","estado [interno]","state [internal]",8,"COD: uma comunidade ou área política organizada que faz parte de uma república federal."
correio,Correios,"post office",8,"COD: um edifício onde os negócios postais são transacionados."
"corpo de bombeiros","casa de bombeiros",firehouse,8,"FN: edifício onde os bombeiros estão estacionados."
"casa de segurança","casa de segurança","safe house",8,"FN: um local designado para que um grupo de pessoas fique ou se reúna, que é mantido secreto de outro grupo que pode prejudicá-los ou interferir em suas atividades.
"centro de aprendizagem","centro de aprendizagem","learning center",8,
"escola de arte","escola de arte","art school",8,
"organização de proteção animal","organização de proteção animal","animal protection organization",8,
"Organização de Serviços Sociais","Organização de Serviços Sociais","social services organization",8,
"universidade privada","universidade privada","private university",8,
"centro de diversões","centro de diversões","amusement center",8,
"porto seguro","porto seguro",haven,8,"Um porto protegido onde os navios podem carregar ou descarregar carga;"
"porto natural","porto natural","natural port",8,"Um porto ou refúgio é um corpo de água onde os navios, barcos e balsas podem procurar abrigo de mau tempo, ou são armazenados para uso futuro."
"porto de águas profundas","porto de águas profundas","deep water port",8,"Um petroleiro que afundou ao largo da costa de Gênova, Itália, em 1991; Uma cidade ou porto com instalações para navios de mar carregarem e descarregarem carga; Um espaço protegido para navios; uma peça de água adjacente à terra em que os navios podem parar para carregar e descarregar."
"cais de águas profundas","cais de águas profundas","deepwater pier",8,"Um porto é um local em uma costa ou litoral que contém um ou mais portos onde navios podem atracar e transferir pessoas ou carga para ou do litoral."
"lugar sagrado","lugar sagrado","sacred place",8,"Um santuário é um lugar sagrado ou sagrado, dedicado a uma divindade específica, antepassado, herói, mártir, santo, demônio ou figura semelhante de temor e respeito, no qual são venerados ou adorados."
bete-el,Bete-el,bethel,8,"Um lugar sagrado onde objetos sagrados são guardados;A área sagrada (ou sagrada) de uma igreja ou templo em torno da sua tabernáculo ou altar."
"base de operações","base de operações","base of operation",8,"Local onde funções de liderança e coordenação principais são realizadas, frequentemente reconhecido como o lar central para uma organização dispersa;O centro das operações ou administração de uma organização;O principal centro administrativo de uma empresa ou organização;Cabeça;O centro das operações ou administração de uma organização."
"sede social","sede social","registered office",8,"Um endereço registrado é o endereço oficial de uma empresa incorporada, associação ou qualquer outra entidade jurídica."
"escritório central","escritórios centrais","central office",8,"(geralmente plural) o escritório que serve como centro administrativo de uma empresa;"
"sede principal","sede principal","main office",8,"o escritório que serve como o centro administrativo de uma empresa;"
"bar de karaokê","Bar de karaokê","karaoke bar",8,"local com um dispositivo que reproduz a parte instrumental das músicas que as pessoas vão cantar."
"acampamento de base","acampamento de base","base camp",8,"o local onde os atletas ou equipes treinam durante os eventos esportivos."
"cidade anfitriã","cidade anfitriã","host city",8,"uma cidade onde os eventos esportivos são jogados."
"espaço livre","espaço livre","open space",1,"FN: um grande local ao ar livre não desenvolvido para uso público"
rebitar,rebitá,rivet,16,"COD: unir ou prender com um rivete ou rivetes"
amarrar,amarrar,tying,8,"FN: a atividade de fixar ou prender"
juntar-se,juntar-se,join,16,"FN: causar para se tornar ligado ou conectado."
fixar,"fixar com colchetes",bracket,16,"FN: fixar com segurança usando um colchete (geralmente a uma âncora robusta, como uma parede)."
executar,Execute,execute,16,"COD: executar ou colocar em prática (um plano, ordem, etc.)."
medida,medidas,measures,8,"COD: um meio de alcançar um propósito"
"em volta de","em volta de",around,2,"COD: em todos os lados de."
"acima de","acima de",over,2,"COD: em um nível ou camada superior que."
"ao longo","ao longo",along,2,"COD: estendendo-se numa linha mais ou menos horizontal sobre."
montado,montado,astride,2,"COD: com uma perna de cada lado de"
"em todos os lugares","em todos os lugares","all over",2,"FN: sobre toda a área"
"acima do solo","acima do solo",above-ground,1,"FN: acima da superfície do solo."
"em todo lugar","em todo lugar",everywhere,3,"COD: em ou para todos os lugares."
"em outro lugar","em outro lugar",elsewhere,3,"COD: em, em algum lugar ou outros lugares."
norte,norte,north,2,"COD: ao ou em direção ao norte."
sul,sul,south,2,"COD: ao ou em direção ao sul."
oeste,oeste,west,2,"COD: ao ou em direção ao oeste."
offshore,offshore,offshore,1,"FN: estar localizado fora da costa de alguma massa terrestre."
passado,passado,past,2,"FN: depois"
sudeste,sudeste,southeast,2,"FN: estar localizado ao sul e a leste de um ponto"
sudoeste,sudoeste,southwest,2,"FN: estar localizado ao sul e a oeste de um ponto"
nordeste,nordeste,northeast,2,"FN: estar localizado ao norte e a leste de um ponto"
noroeste,noroeste,northwest,2,"FN: estar localizado ao norte e a oeste de um ponto"
"no ar","No ar","in the air",2,"ser suspenso no ar."
"em pleno ar","em pleno ar","in midair",2,"ser suspenso no ar."
jeito,"caminho"" ou ""jeito",way,8,"COD: em nomes de lugares, uma estrada, trilha, caminho ou rua."
autoestrada,autoestrada,highway,8,"COD: .principalmente América do Norte uma estrada principal."
autoestrada,autoestrada,expressway,8,"COD: principalmente uma autoestrada americana urbana"
autoestrada,autoestrada,motorway,8,"COD: Br. uma estrada projetada para tráfego rápido, consistindo em duas ou mais faixas em cada direção e com acesso e saídas restritos."
ferrovia,"caminho de ferro",railroad,8,"COD: termo norte-americano para ferrovia."
"faixa de pedestres","Faixa de pedestres",crosswalk,8,"COD: uma travessia para pedestres"
autoestrada,autoestrada,autobahn,8,"COD: uma autoestrada alemã, austríaca ou suíça."
autoestrada,autoestrada,freeway,8,"COD: uma estrada com pedágio"
via,"via de trânsito",roadway,8,"COD: a parte de uma estrada destinada a veículos, em contraste com o passeio ou calçada."
"estrada secundária","estrada secundária",byway,8,"COD: uma estrada secundária ou caminho."
cul-de-sac,cul-de-sac,cul-de-sac,8,"COD: uma rua ou passagem fechada em um de seus extremos."
"entrada de carro","entrada de carro",driveway,8,"COD: uma pequena estrada privada que leva a uma casa."
"via paisagística","via paisagística",parkway,8,"COD: uma estrada aberta e arborizada."
tonto,"Ligeiramente bêbado",tipsy,1,"COD: ligeiramente bêbado"
"sob efeito","sob efeito","under the influence",2,"FN: afetado por uma substância que altera a mente (usada especialmente no contexto da capacidade e legalidade de dirigir)"
"para fora","para fora",outward,3,"COD: sair ou ir embora de um lugar."
"norte verdadeiro","norte verdadeiro","true north",8,"FN: Norte geográfico, em oposição ao norte magnético."
punição,punição/penalidade,punishment_penalty,8,"COD: a penalidade infligida."
punição,"ato de punição",punishment_act,8,"COD: a ação de punir ou o estado de ser punido."
"quarenta e cinco","quarenta e cinco",forty-five,8,"9x5, o número que precede 46, e após 44."
"duzentos e vinte","duzentos e vinte",two-twenty,9,"Duzentos e vinte."
excoriar,Excoriar,excoriate,16,"COD: (formalmente) censurar ou criticar severamente."
"crítica severa","Crítica severa",excoriation,8,"FN: censura ou crítica severa"
denigrativo,denigrativo,denigrative,1,"Desprezo, menosprezo"
elogio,elogios,kudos,8,"COD: (substantivo em massa) elogio e honra."
depreciatório,Depreciatório,deprecatory,1,"FN: desaprovando, servindo para depreciar"
recomendável,Comendável,commendable,1,"COD: merecedor de elogios."
denegrir,denegrir,denigration,8,"FN: expressão de desaprovação extrema, talvez inadequada"
reparação,reparações,reparations,8,"COD: a compensação por danos de guerra paga pelo estado derrotado."
"um tempo","um tempo","a while",8,"FN: há muito tempo"
nanosegundo,nanosegundo,nanosecond,8,"FN: um bilionésimo de segundo"
"pelotão de fuzilamento","pelotão de fuzilamento","firing squad",8,"COD: um grupo de soldados designado para atirar em uma pessoa condenada."
guilhotinamento,guilhotinamento,guillotining,8,"FN: o ato de decapitar alguém com uma guilhotina."
"nome de solteira","nome de solteira","maiden name",8,"COD: o sobrenome que uma mulher casada usava antes de se casar."
"nome de guerra","nome de guerra","nom de guerre",8,"COD: um nome assumido sob o qual uma pessoa se envolve em combate."
"nome do meio","nome do meio","middle name",8,"COD: uma pessoa nome colocado após o primeiro nome e antes do sobrenome."
"nome artístico","nome artístico","stage name",8,"COD: um nome assumido para fins profissionais por um ator"
codinome,"com o codinome",codenamed,1,"FN: com o código de nome"
"apelido carinhoso","apelido carinhoso","pet name",8,"FN: um termo carinhoso usado para se referir a alguém"
agnome,agnome,agnomen,8,"FN: um sobrenome adicional dado a um cidadão romano, principalmente em reconhecimento de conquista"
cacônimo,cacônimo,caconym,8,"FN: um nome incorreto dado, especialmente em um sistema de classificação"
"termo impróprio","termo impróprio",misnomer,8,"COD: nome ou termo errado ou impreciso"
"nome de casado","nome de casado","married name",8,"FN: o nome que uma pessoa adquire como consequência de se casar"
alônimo,alônimo,allonym,8,"FN: o nome de uma pessoa assumida por um autor"
nascido,nascida,nee,1,"FN: usado para introduzir o sobrenome de solteira de uma mulher"
"nome de marca","nome de marca","brand name",8,"COD: um nome dado pelo fabricante a um produto ou gama de produtos."
patronímico,patronímico,patronymic,8,"COD: um nome derivado do nome de um pai ou ancestral, p.ex., Johnson, O'Brien, Ivanovich."
metronímico,Metronímico,metronymic,8,"COD: um nome derivado do nome de uma mãe ou ancestral feminina"
"nome trivial","nome trivial","trivial name",8,"FN: o nome de algo em discurso popular em vez de técnico ou científico"
epônimo,epônimo,eponym,8,"COD: uma palavra ou nome derivado do nome de uma pessoa."
"também conhecido como","também conhecido como","also known as",1,"FN: usado para introduzir um nome alternativo para uma entidade"
"também conhecido como","também conhecido como",aka,1,"COD: também conhecido como"
"sem nome","sem nome",nameless,1,"COD: sem nome ou conhecido"
conhecido,conhecida,known,1,"FN: usado para introduzir um nome para uma entidade"
"nome completo","nome completo","full name",8,"FN: o nome completo de uma pessoa (que pode incluir primeiro, meio e último nomes)"
"dia útil","Dia útil",weekday,8,"COD: um dia da semana, exceto domingo ou sábado"
"noite de semana","Noite de semana",weeknight,8,"FN: uma noite da semana, excluindo sábado e domingo"
"ano civil","ano civil","calendar year",8,"FN: o período de tempo que começa em 1º de janeiro e termina em 31 de dezembro."
"ano bissexto","ano bissexto","leap year",8,"COD: um ano que ocorre uma vez a cada quatro anos e tem 366 dias, incluindo 29 de fevereiro como um dia intercalário."
"ano letivo","ano letivo","school year",8,"FN: um período de tempo em que a escola é realizada, que começa após o verão e termina antes do próximo verão."
"hora de pico","hora de pico","rush hour",8,"COD: um momento no início e no fim do dia de trabalho quando o trânsito está mais intenso."
"hoje à noite","Hoje à noite",tonight,8,"FN: esta noite presente"
"um dia","um dia","one day",8,"FN: Um dia ou ocasião indeterminada é referenciada sem respeito a um tempo relativo específico, daí a incorporação dessa FE. Essa MWE é sempre indefinida."
"pôr do sol","Pôr do sol",sunset,8,"O período de tempo em que o sol se põe e a noite chega."
"anos noventa","anos noventa",nineties,8,"Um período de tempo compreendendo os anos começando após 1989 e antes de 2000."
"anos sessenta","anos sessenta",sixties,8,"A década que começa após 1959 e termina antes de 1970."
"anos setenta","anos setenta",nineteen-seventies,8,"A década que começou em 1970 e terminou em 1979."
"fazer algo","Fazer algo","do something",16,"FN: afetar (uma entidade) por alguma ação não especificada."
"chegar ao fim","chegar ao fim","come to a end",16,"FN: chegar à conclusão de (de um processo, projeto, reunião)"
"chegar ao fim","chegar ao fim","come to a close",16,"FN: chegar ao fim de (um processo, projeto, reunião)"
"levar ao fim","levar ao fim","draw to a end",16,"FN: levar ao estágio final, como de um processo em andamento"
loiro,loira,blonde,8,"COD: uma pessoa de cabelo loiro"
moreno,morena,brunette,8,"COD: uma pessoa de cabelo castanho escuro"
"de olhos azuis","de olhos azuis",blue-eyed,1,"FN: ter olhos azuis"
"genu valgo","genu valgo",knock-kneed,1,"FN: ter uma condição em que os joelhos se curvam para dentro"
"pernas arqueadas","pernas arqueadas",bow-legged,1,"COD: ter pernas que se curvam para fora na articulação do joelho."
"perna de pau","perna de pau",peg-leg,8,"FN: ter uma perna artificial, especialmente de madeira."
pré-cozinhar,pré-cozinhar,parboil,16,"COD: cozinhar parcialmente por fervura"
microondar,microondar,microwave,16,"COD: cozinhar no forno de microondas"
assamento,assamento,roasting,8,"FN: o processo de cozimento por exposição prolongada ao calor em um forno ou sobre uma fogueira."
tostagem,Tostagem,toasting,8,"FN: o processo de cozimento ou douramento por exposição a calor radiante"
"fervura suave","fervura suave",simmering,8,"FN: causando para ficar apenas abaixo do ponto de ebulição enquanto borbulha suavemente"
"cozimento a vapor","cozimento a vapor",steaming,8,"FN: o processo de cozimento por aquecimento em vapor de água fervente"
assamento,assamento,baking,8,"FN: o processo de cozimento de alimentos por calor seco, tipicamente em um forno"
cholangite,cholangite,cholangitis,8,"FN: inflamação dos ductos biliares."
cholecistite,Cholecistite,cholecystitis,8,"FN: inflamação da vesícula biliar, geralmente causada pela presença de cálculos biliares."
conjuntivite,conjunctivite,conjunctivitis,8,"COD: inflamação da conjuntiva"
diverticulose,diverticulose,diverticulosis,8,"COD: uma condição na qual os divertículos estão presentes no intestino sem sinais de inflamação"
dismenorreia,dismenorreia,dysmenorrhoea,8,"COD: menstruação dolorosa"
estrongilose,strongilose,strongylosis,8,"FN: infestação de vermes fortes."
"meningite bacteriana","meningite bacteriana","bacterial meningitis",8,"FN: uma infecção do fluido da medula espinhal e do fluido que envolve o cérebro causada por uma bactéria (em oposição a um vírus)"
aids,Aids,aids,8,"COD: uma doença, causada por um vírus transmitido em fluidos corporais, na qual há uma perda grave da imunidade celular, deixando o paciente suscetível à infecção e à malignidade"
"doença de Alzheimer","doença de Alzheimer",alzheimer's,8,"COD: uma forma de deterioração mental progressiva devida à degeneração generalizada do cérebro, que ocorre na meia-idade ou velhice."
"dor de cabeça","dor de cabeça",headache,8,"Dores fortes na cabeça."
"transportar por via aérea","transportar por via aérea",airlift,16,"FN: mover uma entidade de um local para outro por meio de transporte aéreo"
competir,compete,compete,16,"A lutar para ganhar ou conquistar algo, derrotando ou estabelecendo superioridade sobre os outros."
telex,telex,telex,16,"COD: enviar (uma mensagem) por telex"
fax,fax,fax,16,"COD: enviar (um documento) por fax."
pdfar,pdfar,pdf,16,"FN: para transmitir eletronicamente como um arquivo PDF (formato de documento portátil)."
enviar,expresso,express,16,"FN: envie pelo correio com tempo de entrega curto"
"transporte marítimo","Transporte marítimo",shipping,8,"FN: transporte de carga por navio"
camisolar,camisolar,straitjacket,16,"FN: confinar em uma camisola de força."
individual,individual,individual,8,"FN: objeto único"
"qualquer coisa","qualquer coisa",anything,3,"A coisa, não importa o quê."
zipar,zipar,zip,16,"COD: com objeto de fixar com zíper."
alergista,alergista,allergist,8,"FN: um médico que se especializa no diagnóstico e tratamento de alergias."
quiroprático,quiroprático,chiropractor,8,"FN: um praticante de quiroprática"
gastroenterologista,gastroenterologista,gastroenterologist,8,"FN: um médico que se especializa em distúrbios do estômago, intestinos e órgãos relacionados"
gerontologista,gerontologista,gerontologist,8,"FN: um médico que se especializa nos fenômenos associados ao envelhecimento e à velhice"
imunologista,imunologista,immunologist,8,"FN: um médico que se especializa nos distúrbios e no funcionamento do sistema imunológico"
neonatologista,neonatologista,neonatologist,8,"FN: um médico que se especializa em condições e distúrbios de recém-nascidos"
proctologista,proctologista,proctologist,8,"FN: um médico ou cirurgião que se especializa em doenças que afetam o reto, cólon e ânus"
"médico de família","médico de família","family practitioner",8,"FN: um médico que se especializa em cuidar de pessoas de todas as idades"
oncologista,"oncologista de radiação","radiation oncologist",8,"FN: um médico ou cirurgião que se especializa em radiologia para o tratamento do câncer"
parteiro,parteira,midwife,8,"COD: uma enfermeira treinada para ajudar mulheres no parto."
enfermeira,enfermeira,nurse,8,"COD: uma pessoa treinada para cuidar dos doentes ou deficientes."
gastroenterologia,Gastroenterologia,gastroenterology,8,"COD: a área da medicina que trata de distúrbios do estômago e intestinos"
quiropraxia,quiropraxia,chiropractic,8,"COD: um sistema de medicina complementar baseado no diagnóstico e tratamento manual das desordens das articulações, especialmente da coluna vertebral"
neonatologia,neonatologia,neonatology,8,"FN: a ramificação da medicina pediátrica que lida com as doenças e cura de recém-nascidos"
podiatria,podiatria,podiatry,8,"FN: a área da medicina que lida com o diagnóstico, tratamento e prevenção dos pés humanos"
"terapia da fala","terapia da fala","speech therapy",8,"COD: tratamento para ajudar pessoas com problemas de fala e linguagem."
broncoscópio,broncoscópio,bronchoscope,8,"FN: um instrumento tubular fino com uma pequena luz na ponta para inspeção dos brônquios"
colecistoscópio,colecistoscópio,cholecystoscope,8,"FN: instrumento médico usado para o exame da vesícula biliar"
fluoroscópio,fluoroscópio,fluoroscope,8,"COD: um instrumento com uma tela fluorescente usado para visualizar imagens de raios-X sem tirar e desenvolver fotografias de raios-X"
gastroscópio,gastroscópio,gastroscope,8,"COD: um instrumento óptico utilizado para inspecionar o interior do estômago"
laparoscópio,laparoscópio,laparoscope,8,"FN: um endoscópio fino e tubular que é inserido através de uma incisão na parede abdominal para examinar ou realizar cirurgia menor dentro das cavidades abdominais ou pélvicas"
sigmoideoscópio,sigmoideoscópio,sigmoidoscope,8,"FN: instrumento tubular para exame visual da flexura sigmoide"
escalpelo,escalpelo,scalpel,8,"COD: uma faca com uma pequena lâmina afiada, como usada por um cirurgião"
especulo,especulo,speculum,8,"COD: um instrumento de metal utilizado para dilatar uma abertura ou canal no corpo para permitir inspeção"
seringa,siringa,syringe,8,"COD: um tubo com bocal e pistão ou bulbo para sugar e expulsar líquidos em forma de jato fino, muitas vezes equipado com uma agulha oca para injetar ou retirar fluidos do corpo"
otoscópio,Otoscópio,otoscope,8,"FN: um instrumento para examinar o interior do ouvido, especialmente a membrana timpânica, consistindo essencialmente em uma lente de ampliação e luz"
"aparelho de pressão arterial","manguito de pressão arterial","blood pressure cuff",8,"FN: uma banda inflável que é enrolada em um membro para controlar o fluxo sanguíneo através da parte ao registrar a pressão arterial com um esfigmomanômetro"
"junto com","junto com","along with",2,"FN: em companhia de"
sozinho,sozinho,singly,3,"FN: Sozinho, por si só"
"em combinação","em combinação","in combination",2,"FN: produzindo um resultado só junto."
"construção (entidade)","construção (entidade)",construction(entity),8,"FN: a manifestação física do ato de construção"
"Dia do Armistício","Dia do Armistício","armistice day",8,"COD: o aniversário do armistício de 11 de novembro de 1918, agora substituído pelo Dia do Lembrança no Reino Unido."
"Boxing Day","Boxing Day","boxing day",8,"COD: feriado público no primeiro dia (ou primeiro dia útil) após o Natal."
